"Spotted Eagle, Chris"
"Parkerson, Michelle"
"Ratnam, Premika"
"Brand, Dionne"
"Fung, Richard"
"Ruiz, Raul"
"Huillet, Daniele"
"Straub, Jean-Marie"
"Goldberg, Roselee"
"Ball, Hugo"
"Jonas, Joan"
"Miller, Tim"
General Idea (Collective)
"Mclaren, Ross"
"Swidzinski, Jan"
"Jenkins, Patrick"
"Chapman, Peter"
"Gronau, Anna"
"Morris, Michael"
"Lewis, Glenn"
"Craig, Kate"
"Metcalfe, Eric"
"Trasov, Vincent"
"Krikorian, Tamara"
"Buchan, David"
"Kramer, Margia"
"Holt, Nancy"
"Wilson, Martha"
"Plastic People, The"
"Anderson, Laurie"
"Buchan, David"
"Bull, Hank"
"Cantin, Jean-François"
"Chitty, Elizabeth"
"CLICHETTES, The"
"Del Monte, Lamonte"
"Dion, Daniel"
"Ellison, Jane"
General Idea (Collective)
"Government, The"
"Guimond, Daniel"
"HUMMER SISTERS, The"
Marshalore
"Metcalfe, Eric"
Murray Ball and the Fruitcups (Collective)
Randy and Berneche (Collective)
"Robertson, Clive"
"Sherman, Tom"
"Spodarek, Diane"
"Tourbin, Dennis"
"Werden, Rodney"
"Allen, Lillian"
"Bryans, Billy"
"Bobb, Greg"
"Mars, Tanya"
"Walker, Alice"
"Hansraj, Luther"
"Lam, Ed"
"Kleist, Makka"
"Leeming, Frances"
"Philips, Paulette"
"Morrison, Christian"
"Lynch, Shaun"
"Porter, John"
"Mangaard, Annette"
"Steiner, Edie"
"Abrams, Rhonda"
"Bhaggiyadatta, Krisantha Sri"
"Greyson, John"
"Cannon, Marcia"
"Brocka, Lino"
"Constable, Mike"
"Chan, Anthony B."
"Fung, Richard"
"Kibbins, Gary"
"Robertson, Clive"
"Campbell, Colin"
"Fernie, Lynne"
"Coutts-Smith, Kenneth"
Sistren (Collective)
"Elliott, Beverly"
"Stephenson, Cerene"
"Hanson, Beverly"
"Smith, Jasmin"
"Knowles, Rebecca"
"Todd, Jerline"
"Lewis, Vivette"
"Foster, Lillian"
"Burrell, Lorna"
"Thompson, May"
"Finikin, Lana"
"Campbell, Betti"
"Hiller, Susan"
"Lacy, Suzanne"
"Labowitz, Leslie"
"Antin, Eleanor"
"Finn-Kelcey, Rose"
"Rosler, Martha"
"Gaulke, Cheri"
"Reedy, Carlyle"
"Potter, Sally"
"Montano, Linda"
"English, Rose"
"Paik, Nam June"
"Nicol, Nancy"
"Cohn, Norman"
"Steele, Lisa"
"Metcalfe, Eric"
"Atchley, Dana"
"Sherman, Tom"
"Clarke, Wendy"
"Lister, Ardele"
"Orsler, Tony"
RANDY & BERENICCI
"Lord, Chip"
"Craig, Kate"
"Morin, Robert"
"Defour, Lorraine"
"Tomczak, Kim"
"Chitty, Elizabeth"
"Campbell, Colin"
"Britton, Susan"
"Lewis, Marien"
General Idea (Collective)
"Tanaka, Janice"
"Frenkel, Vera"
"Werden, Rodney"
"Rached, Tahani"
WOMEN IN FOCUS (Vancouver)
"Harvey, Andy"
"Berger, Tom"
"Mckiggan, Bill"
"Cohn, Norman"
"Chmilar, Teri"
"Arcand, Denys"
"Izon, Sonny"
"Klein, Judy Graf"
"Honig, Josh"
"Davis, David"
"Choy, Christine"
"Dennis, John"
"Mallson, Nicola"
"Mason, Dawn"
"Moule, Ron"
"Morris, Ieuan Rhys"
"Rock, Joyce"
"Berger, Tom"
"Mckiggan, Bill"
"Goss, Jim"
"Ledsham, Brenda"
"Steele, Lisa"
"Nicol, Nancy"
"Posner, Judith"
"Kudelka, Jan"
"Dale, Holly"
"Cole, Janice"
"Pelletier, Pol"
"Weinzweig, Helen"
"Fraticelli, Rina"
"Endre, Robin"
"Waugh, Phyllis"
"Fernie, Lynne"
"Gruben, Patricia"
"Raudvee, Leena"
"Patterson, Pam"
"Carter, Lyn"
"Cornwall, Paula"
"Baert, Renee"
"Grant, Cynthia"
"Jeffries, Pat"
"Lushington, Kate"
"Stevenson, Sharon"
"Strautins, Rita"
"Sipolins, Lalita"
"Patterson, Pam"
"CLICHETTES, The"
"Ravina, Mara"
"Mason, Joyce"
"Armatage, Kay"
"Monro, Jim"
"Wenders, Wim"
"Fuller, Sam"
"Akerman, Chantal"
"Morales, Jacobo"
"Makharam, Ababacar Samb"
"Kabore, Gaston"
"Bunuel, Joyce"
"Laure, Carole"
"Lokkeberg, Vibeke"
"Gorris, Marlene"
"Molina, Josefina"
"Goupil, Romain"
"Ahearn, Charlie"
"Sirk, Douglas"
"Hodge, Jennifer"
"McTair, Roger"
"Scott-Heron, Gil"
"Mugge, Robert"
"Bissonnette, Sophie"
"Condy-Berggold, Craig"
"Charleton, Alex"
"McCauley, Glen"
"Lozano, Jorge"
"Paterson, Andrew"
"Paisley, Mary Burdick"
"Delisle, Andrew Jr."
"Cloud, Peter Blue"
"Jacobs, Alex"
"Blair, Brian"
"Bull, Hank"
"Britton, Susan"
"Caristan, George"
"Chitty, Elizabeth"
"D'Amico, Margarita"
"Deane, Joanne"
"Dibango, Manu"
"Doucet, Paul"
"Dubin, Larry"
"Dudar, Peter"
"Eng, Lily"
"Konieczny, Marek"
"Krupa, Gene"
"Lack, Stephen"
"Laing, John"
"Lozano, Jorge"
"Manzo, Luis"
"Marquez, Hugo"
"Muntadas, Antonio"
"Risquez, Diego"
"Sanoja, Sonia"
"Steele, Lisa"
"Sembene, Ousmane"
"Mattes, Al"
"Mitchell, John"
"Moyle, Allan"
"Beveridge, Karl"
"Tomczak, C.K."
"Waldemar, Delima"
"Zerpa, Carlos"
"Conde, Carole"
"Elwes, Catherine"
"Greyson, John"
"Chagnon, Alain"
"Mitchell, Michael"
"Wollheim, Peter"
"Crépô, Pierre"
"Heath, David"
"Robertson, Clive"
"Hout, Robert"
"Rios, Michael"
"Leeson, Lorraine"
"Dunn, Peter"
"Levine, Jack"
"Philip, Marlene"
"Harris, Claire"
"Ward, Fred"
"Bociurkiw, Marusia"
"Bishop, Ruth"
"Bossin, Bob"
"Diamond, Sara"
"Rynard, Su"
"Zaag, Elizabeth Vander"
"Paradis, Marc"
"Bourdon, Luc"
"Courchesne, Luc"
General Idea (Collective)
Current Video
"Schadt, Christa"
"Griffiths, Linda"
"Heratix, The"
Demi-monde
"Lydbrooke, Marian"
"Stef, Elaine"
"Mckeough, Rita"
"Vanderbilt, Gabriella"
"Sturman, Susan"
"Allen, Lillian"
"Bryans, Billy"
"Sasaki, Tomiyo"
"Steinman, Barbara"
"Wong, Paul"
"Wyngaarden, Cornelia"
"Carr-Harris, Ian"
"Dean, Max"
"Tomas, David"
RANDY & BERENICCI
"Craig, Kate"
"Frenkel, Vera"
"Zhina, Ahdri"
"Layabouts, The"
"Tomczak, Kim"
"Steele, Lisa"
"Grant, Eddy"
"Tosh, Peter"
Black Uhura
Mutabaruka
"Brown Jr., Oscar"
"Moral Lepers, The"
"Lyne, Adrian"
"Hedley, Tom"
"Esterhas, Joe"
"Borden, Lizzie"
"Brand, Dionne"
"Van der KEUKEN, JOHAN"
"Greyson, John"
"Chen, Margaret"
"Kennedy-Kish, Banakonda"
"Wong, Megan Vun"
"Bailey, Beatrice"
"Mossop, Rowley"
"Balser, Michael"
"Mcintosh, David"
"Growshaw, George"
"Maclean, David"
Jargan (Collective)
Teocoyani (Collective)
Sistren (Collective)
Ground Zero (Collective)
Company of Sirens (Collective)
"Bersianik, Louky"
"Marchessault, Jovette"
"Brossard, Nicole"
"Abrams, Rhonda"
"Day, Dennis"
"Payne, Tess"
"Rynard, Su"
"Murray, Carla"
"Diamond, Sara"
"Campbell, Colin"
"Werden, Rodney"
"Goldberg, Michael"
"Bociurkiw, Marusia"
"Fung, Richard"
"Gostick, Sheila"
"Bronson, AA"
"Lypchuk, Donna"
"Lewis, Glenn"
"Tosh, Peter"
"Rams, Dieter"
"Kounellis, Janis"
"Mason, Bobbie Ann"
"Beattie, Ann"
"Gibson, Chryse"
"Vernon, Phil"
"Bociurkiw, Marusia"
"Bishop, Ruth"
"De Landa, Manuel"
"Poe, Amos"
"Dick, Vivienne"
"Friedrich, Su"
"Mitchell, Eric"
"Katz, Leandro"
"Thornton, Leslie"
"Gordon, Bette"
"Rainer, Yvonne"
"Chuma, Yoshiko"
"Jarmusch, Jim"
"Monk, Meredith"
"Sherman, Stuart"
"Rappaport, Mark"
"Lunch, Lydia"
"Oblowitz, Michael"
"WOOSTER GROUP, The"
"Driver, Sara"
"Mclaughlin, Sheila"
"Tillman, Lynne"
"Gruben, Patricia"
"Macgillivray, Bill"
"Armatage, Kay"
"Burgess, Marilyn"
"Sandmark, Peter"
"Wright, Jane"
"Marshall, John"
"L'abbé, Martin"
"Zarzycki, Jan"
"Will, John"
"Fairfield, Paula"
"Walker, Wendy"
"Peacock, Jan"
"Barbès, François"
"Hatoum, Mona"
"Lean, David"
"Gunterman, Madeline"
"Hayman, Sasha"
"Blewchamp, Anna"
"Jarvis, Judy"
"Householder, Johanna"
"Lake, Suzy"
"Roth, Evelyn"
"Wieland, Joyce"
"Walker, Joy"
"Esler, Annemarie Schmid"
"Haeseker, Alexandra"
"Hendershot, Janet"
"Whiten, Colette"
"Pratt, Mary"
"Westerlund, Mia"
"Oliver, Bobbie"
"Jenkins, Sarah C."
"Lutkenhaus, Almuth"
"Clough, Annette"
